//Format:
//EnumName ITEM_NAME xCoordinate,yCoordinate
//MapImpl path xSpawnCoordinate,ySpawnCoordinate unitScale

MapImpl levels/Level1/Outside.tmx 502,36 0.166
HealthPotionStats BASIC_HEALTH_POTION 185,2330
HealthPotionStats BASIC_HEALTH_POTION 2090,2230
HealthPotionStats BASIC_HEALTH_POTION 1820,1000
HealthPotionStats BASIC_HEALTH_POTION 1880,1000
HealthPotionStats BASIC_HEALTH_POTION 920,530
HealthPotionStats BASIC_HEALTH_POTION 1790,560
HealthPotionStats BASIC_HEALTH_POTION 800,850
HealthPotionStats BASIC_HEALTH_POTION 295,1850
HealthPotionStats BASIC_HEALTH_POTION 220,850
DoorKey 1990,2430
DoorPosition 1120,2300
MobStats TROLL 5 240,2330
MobStats TROLL 5 1930,2370
WeaponStats LONGSWORD 1750,1000
